word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
Abel heat test,,,[化] 阿贝耳耐热试验,,,,,0,0,,,
Abel Janszoon Tasman,,,亚伯·塔斯曼（人名）,,,,,0,0,,,
Abel reagent,,,[化] 阿贝耳试剂,,,,,0,0,,,
Abel Tasman,,,[网络] 亚伯塔斯曼；航海家塔斯曼；艾贝尔塔斯曼,,,,,0,0,,,
Abel test,,,[化] 阿贝耳试验,,,,,0,0,,,
Abel tester,,,[化] 阿贝尔闪点试验器,,,,,0,0,,,
Abel's bacillus,,,"[医] 阿伯耳氏杆菌, 臭鼻克雷白氏杆菌",,,,,0,0,,,
Abel-Pensky flash point test,,,[化] 阿贝耳-彭斯基闪点试验,,,,,0,0,,,
abela,,,n. (Abela)人名；(法、意、马耳他)阿贝拉；(西)阿韦拉,,,,,0,0,,,
Abelard,"'æbə,la:d",n. French philosopher and theologian; lover of Heloise (1079-1142),n. 阿伯拉德（法国哲学家、神学家）,,,,,37661,0,,,
abele,ә'bi:l,n a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces,n. 银白杨,,,,,0,0,,,
abeles,ə'biːl; 'eɪb(ə)l,,n. [林] 银白杨\nn. (Abele)人名；(德、瑞典)阿贝勒；(意)阿贝莱；(英)埃伯利,,,,,0,0,,,
abelia,,n. any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers; Asia and Mexico,六道木属,,,,,0,0,,,
Abelian,ә'bi:ljәn,n. Alt. of Abelonian,"a. 阿贝尔定理的, 交换的\n[计] 阿贝尔",,,,,0,0,,,
Abelian group,,,交换群,,,,,0,0,,,
Abelin's reaction,,,[医] 阿贝林氏反应(检尿中胂凡纳明),,,,,0,0,,,
Abelin's test,,,[医] 阿贝林氏试验(检尿中胂凡纳明),,,,,0,0,,,
abelite,,n. Alt. of Abelonian,[化] 阿贝立特炸药,,,,,0,0,,,
abell,,,艾贝尔（英格兰人姓氏）,,,,,0,0,,,
abella,,,n. (Abella)人名；(匈)奥拜洛；(西)阿韦利亚；(葡)阿贝拉,,,,,0,0,,,
Abelmoschus,,n genus of tropical coarse herbs having large lobed leaves and often yellow flowers,[医] 秋葵属,,,,,0,0,,,
Abelmoschus esculentus,,,un. 秋葵\n[网络] 咖啡黄葵；黄秋葵；大花秋蔡,,,,,0,0,,,
Abelmoschus esculentus Moench.,,,[医] 秋葵,,,,,0,0,,,
Abelmoschus manihot Medic.,,,[医] 秋葵,,,,,0,0,,,
Abelmoschus moschatus,,,[网络] 黄葵；香葵；黄葵籽,,,,,0,0,,,
abelmosk,'eibәlmɒsk,n. bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus,n. 黄葵,,,,,0,0,,,
abeloff,,, [人名] 阿贝洛夫,,,,,0,0,,,
abels,'eibəl,,n. 亚伯（亚当和夏娃的次子）；艾贝尔（男子名）,,,,,0,0,,,
abelson,'eibəlsən,,n. 阿贝尔森（姓氏）,,,,,0,0,,,
abelsonite,,,紫四环镍; 紫四环镍矿,,,,,0,0,,,
abembryonic,",æb,embri'ɔnik",,"胚胎外的, 远胚胎的",,,,,0,0,,,
aben,,,n. (Aben)人名；(俄)阿边；(西)阿文,,,,,0,0,,,
Abenaki,",æbə'næki",n. a member of the Algonquian people of Maine and southern Quebec,n. 阿布纳基人（北美印第安人）；阿布纳基语（属印第安语群阿尔冈昆语组）,,,,,0,0,,,
abenakis,,,n. 阿布纳基人（北美印第安人）；阿布纳基语（属印第安语群阿尔冈昆语组） (Abenaki的变形),,,,,0,0,,,
ABEND,ә'bend,,"[计] 异常结束, 任务异常结束",,,,,0,0,,,
abend dump,,,[电] 异常倾印,,,,,0,0,,,
abend unrecoverable,,,[电] 不可恢复的异常终结,,,,,0,0,,,
abeng,,,[网络] 阿口崩,,,,,0,0,,,
abengoa,,,n. (Abengoa)人名；(西)阿文戈亚,,,,,0,0,,,
abenheim,,, [地名] [德国] 阿本海姆,,,,,0,0,,,
Abenquefit,,,[医] 阿本奎菲特,,,,,0,0,,,
abenteric,,,[医] 肠外的,,,,,0,0,,,
abenteric typhoid,,,[医] 肠外型伤寒,,,,,0,0,,,
abenteric typhoid fever,,,[医] 肠外型伤寒,,,,,0,0,,,
ABEOJ,,,[计] 作业异常结束,,,,,0,0,,,
Abeokuta,",æbi:'әjkәtә",,阿贝奥库塔[尼日利亚西南部城市],,,,,0,0,,,
abeooxaiceane,ebiәu'ɔkseisi:n,,十氢环氧亚甲基萘,,,,,0,0,,,
abeoyohimbane,'eibiɔiɔhimbein,,甲基降育亨烷,,,,,0,0,,,
abepithymia,,,[医] 情感淡漠; 太阳神经丛麻痹,,,,,0,0,,,
abequose,æ'bikwɔ:s,,"阿比可糖, 3-脱氧 -D-岩藻糖",,,,,0,0,,,
aber,'æbә,,"n. 河口, 汇流点",,,,,0,0,,,
abercorn,,, [人名] 阿伯康; [地名] [赞比亚] 阿伯康（姆巴拉的旧称）; [地名] [英国] 阿伯康,,,,,0,0,,,
Abercrombie,'æbəkrʌmbi,,n. 阿伯克龙比（人名）,,,,,29023,0,,,
ABERCROMBIE AND FITCH,,,阿博菲奇服装,,,,,0,0,,,
Abercrombie's degeneration,,,"[医] 阿伯克龙比氏变性, 淀粉样变性",,,,,0,0,,,
Abercrombie's syndrome,,,"[医] 艾伯克龙比氏综合征, 淀粉样变性",,,,,0,0,,,
abercrombies,,plural of abercromby,(abercromby 的复数)  [人名] [苏格兰人姓氏] 阿伯克龙比 Abercrombie的变体,,,,,0,0,0:abercromby/1:s,,
abercromby,,, [人名] [苏格兰人姓氏] 阿伯克龙比 Abercrombie的变体,,,,,0,0,s:abercrombies,,
Aberdare,",æbə'dεə",n. a mining town in southern Wales,n. 亚伯达；阿伯德尔（英国威尔士南部城镇）,,,,,42448,0,,,
aberdares,",æbə'dεə",,n. 亚伯达；阿伯德尔（英国威尔士南部城镇）,,,,,0,0,,,
aberdeen,",æbә'di:n",n. a town in western Washington\nn. a town in northeastern South Dakota\nn. a town in northeastern Maryland,n. 亚伯丁（英国苏格兰一郡 ）；苏格兰粗毛猎狐狗（等于Aberdeenterrier）,,,,,4626,0,,,
Aberdeen Angus,,,亚伯丁安格斯牛,,,,,0,0,,,
Aberdeenshire,",æbә'di:nʃә(r)",,阿伯丁郡[英国苏格兰原郡名],,,,,25999,0,,,
aberdevine,æbәdәˊvain,,n. 金翅雀,,,,,0,0,,,
Aberdonian,æbә'dәjniәn,a of or relating to Aberdeen,n. (苏格兰港市)阿伯丁人\na. 阿伯丁人的,,,,,0,0,s:aberdonians,,
Aberdonians,,plural of Aberdonian\na of or relating to Aberdeen,(Aberdonian 的复数) n.(苏格兰港市)阿伯丁人\na. 阿伯丁人的,,,,,0,0,0:aberdonian/1:s,,
Abergavenny,,,阿伯加文尼（地名）,,,,,25939,0,,,
Aberglaube,'ɑ:bәglajbә,,n. <德>迷信,,,,,0,0,,,
aberle,,,n. (Aberle)人名；(英)阿伯利；(德)阿贝勒,,,,,0,0,,,
AberMUD,,,[计] 冒险游戏的总称,,,,,0,0,,,
abernathy,,,阿伯内西（苏格兰人姓氏）,,,,,0,0,,,
abernathyite,"'æbә,næθiait",,水砷钾铀矿,,,,,0,0,,,
Abernethy,'æbәneθi,,n. 硬饼干,,,,,43539,0,,,
Abernethy's fascia,,,[医] 艾伯内西氏筋膜(覆髂外动脉上),,,,,0,0,,,
Abernethy's operation,,,[医] 艾伯内西氏手术(髂外动脉结扎术),,,,,0,0,,,
Abernethy's sarcoma,,,[医] 艾伯内西氏肉瘤(一种变性脂肪瘤),,,,,0,0,,,
aberraation of light,,,[机] 光像差,,,,,0,0,,,
aberrance,æ'berәns,n. a state or condition markedly different from the norm,"n. 偏离正路, 偏离常轨, 反常",,,,,0,0,s:aberrances,,
aberrances,,plural of aberrance\nn. a state or condition markedly different from the norm,"(aberrance 的复数) n. 偏离正路, 偏离常轨, 反常",,,,,0,0,0:aberrance/1:s,,
aberrancy,,n a state or condition markedly different from the norm,"n. 离开正路, 脱离常规",,,,,0,0,,,
aberrans,,,"[医] 迷行的, 迷乱的; 迷管",,,,,0,0,,,
aberrant,æ'berәnt,n. one whose behavior departs substantially from the norm of a group\ns. markedly different from an accepted norm,"a. 偏离正路的, 偏离常轨的, 畸变的\n[化] 异常的",,,,gre,22869,21296,,,
aberrant artery,,,[医] 迷走动脉,,,,,0,0,,,
aberrant behivior,,,[法] 不正常的行为,,,,,0,0,,,
aberrant bile ducts,,,[医] 胆迷管,,,,,0,0,,,
aberrant bundle,,,[医] 迷行束(指穹窿回峡部之神经束),,,,,0,0,,,
aberrant clone,,,[医] 失常细胞系,,,,,0,0,,,
aberrant complex,,,[医] 异常复合波(心电图),,,,,0,0,,,
aberrant cycle,,,[医] 迷行循环,,,,,0,0,,,
aberrant ganglion,,,[医] 迷行神经节(偶见于脊神经后根),,,,,0,0,,,
aberrant goiter,,,[医] 迷行性甲状腺肿,,,,,0,0,,,
aberrant personality,,,[法] 变态性格,,,,,0,0,,,
aberrant thyroid,,,[医] 异位甲状腺,,,,,0,0,,,
aberrant ureter,,,[医] 迷行输尿管,,,,,0,0,,,
aberrantly,,,"adv. 反常地, 异常地",,,,,0,0,,,
aberrate,,,[网络] 变异；异变术,,,,,0,0,,,
aberrated,'æbәreitid,v diverge from the expected\nv diverge or deviate from the straight path; produce aberration,a. 异常的,,,,,0,0,,,
aberratio,,,"[医] 象差; 迷行, 迷乱; 精神迷乱; 畸变(生物)",,,,,0,0,,,
aberratio lactis,,,"[医] 乳液迷乱, 异位乳汁分泌",,,,,0,0,,,
aberratio mensium,,,"[医] 月经迷乱, 倒经",,,,,0,0,,,
aberratio testis,,,[医] 睾丸异位,,,,,0,0,,,
aberration,æbә'reiʃәn,n. a disorder in one's mental state\nn. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差\n[化] 光行差; 像差",,1,,gre,14308,12462,s:aberrations,,
aberration constant,,,[化] 像差常数,,,,,0,0,,,
aberrational,,a. Characterized by aberration.,"离开轨道的, 越轨的, 脱离常规的",,,,,0,44374,,,
aberrations,æbə'reɪʃnz,n. a state or condition markedly different from the norm\nn. a disorder in one's mental state\nn. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image,n. 偏差( aberration的复数形式 ); 差错; 脱离常规; <心理学>心理失常,,,,,0,0,0:aberration/1:s,,
aberrometer,",ɑ:bә'rɔmitә",,象差计,,,,,0,0,,,
abert,,,n. (Abert)人名；(法)阿贝尔；(英)艾伯特；(德、捷)阿贝特,,,,,0,0,,,
abertura,,, [地名] [西班牙] 阿韦图拉,,,,,0,0,,,
Aberystwyth,",æbə'ristwiθ",,n. 阿伯里斯特威斯（英国威尔士西部自治市）,,,,,13375,0,,,
abes,eib,,n. 亚伯（男子名，等于Abraham）,,,,,0,0,,,
abeson,,,n. (Abeson)人名；(西)阿韦松,,,,,0,0,,,
abesse,,,"[法] 不出庭, 缺席, 不在",,,,,0,0,,,
abesterase,ә'bestәreis,,脂族脂酶,,,,,0,0,,,
abestrine,,,a. 石棉的,,,,,0,0,,,
abet,ә'bet,"v. assist or encourage, usually in some wrongdoing","vt. 教唆, 煽动, 怂恿, 帮助, 支持",,,,gre,14447,15345,p:abetted/i:abetting/d:abetted/3:abets,,
abet sb.in a crime,,,[法] 教唆犯罪,,,,,0,0,,,
abetalipoproteinaemia,,, [医]无β脂蛋白血症,,,,,0,0,,,
abetalipoproteinemia,əbɪtælɪpəʊprəʊti:'ni:mɪə,, 无β脂蛋白血症,,,,,0,0,,,
abete,,,n. (Abete)人名；(西)阿韦特；(意)阿贝特,,,,,0,0,p:abeted,,
abeted,,past tense of abete,(abete 的过去时) n. (Abete)人名；(西)阿韦特；(意)阿贝特,,,,,0,0,0:abete/1:p,,
abetment,ә'betmәnt,n. the verbal act of urging on,"n. 唆使, 帮助, 煽动, 怂恿, 支持\n[法] 教唆, 唆使, 教唆犯罪",,,,,0,0,,,
abets,,"v assist or encourage, usually in some wrongdoing",n. 飞机信标电子试验装置,,,,,0,0,0:abet/1:3,,
abett,әˊbet,,v. 唆使;鼓动;怂恿,,,,,0,0,,,
abettal,ә'betәl,n the verbal act of urging on,"n. 教唆, 煽动, 帮助, 支持",,,,,0,0,,,
abetted,ə'bet,imp. & p. p. of Abet,"vt. 煽动, 教唆；支持\nn. (Abet)人名；(意)阿贝特；(匈)奥拜特",,,,,0,0,0:abet/1:pd,,
abetter,ә'betә,n one who helps or encourages or incites another,"n. 唆使者, 怂恿者\n[法] 教唆者, 唆使者, 煽动者",,,,,0,0,,,
abetting,ə'bet,p. pr. & vb. n. of Abet,"vt. 煽动, 教唆；支持\nn. (Abet)人名；(意)阿贝特；(匈)奥拜特",,,,,0,0,0:abet/1:i,,
abettor,ә'betә,n. one who helps or encourages or incites another,"n. 唆使者, 怂恿者",,,,,0,0,s:abettors,,
abettors,,plural of abettor\nn. one who helps or encourages or incites another,"(abettor 的复数) n. 唆使者, 怂恿者",,,,,0,0,0:abettor/1:s,,
abevacuation,,n. A partial evacuation.,[医] 排泄失常; 转移,,,,,0,0,,,
abeyance,ә'beiәns,n. temporary cessation or suspension,"n. 中止, 暂搁, 停止, 归属待定\n[化] 潜态",,,,gre,19462,29581,,,
abeyancy,,,abeyancy (plural abeyancies)\n(rare) Abeyance.\n,,,,,0,0,,,
abeyant,ә'beiәnt,s. inactive but capable of becoming active,"a. 中止的, 暂时搁置的\n[法] 中止的, 未定的, 所有人未定的",,,,,0,0,,,
